fryer_temperature,frying_time,moisture_content,slice_thickness,oil_quality_index,defect_percentage
162.9,4.19,5.53,1.99,0.823,26.17
173.0,2.93,1.86,1.97,0.967,26.27
199.0,3.56,7.22,2.68,0.652,64.79
174.6,4.38,4.52,1.72,0.891,35.06
166.4,3.99,4.15,2.72,0.883,25.74
181.7,5.95,5.1,1.81,0.846,41.56
162.0,2.55,5.37,1.66,0.983,14.44
153.8,4.78,1.5,1.91,0.697,31.87
156.4,3.62,5.78,2.52,0.565,22.74
156.4,3.71,2.69,1.25,0.836,24.73
157.6,4.87,6.0,1.39,0.865,26.01
156.9,4.77,6.76,2.9,0.788,21.53
182.0,5.97,6.63,1.35,0.603,49.82
159.1,2.51,4.87,2.14,0.752,19.66
167.3,2.42,4.64,2.16,0.656,21.83
194.8,4.9,2.0,1.98,0.714,66.64
173.7,4.31,6.43,2.29,0.823,27.47
183.4,3.1,2.9,1.46,0.873,37.15
158.6,2.32,4.48,2.11,0.616,23.53
159.6,2.34,2.99,1.74,0.703,18.94
152.0,5.58,1.94,2.32,0.635,40.81
158.4,2.77,5.41,1.28,0.599,18.74
163.9,3.29,1.38,2.14,0.892,21.46
158.9,2.91,6.24,1.37,0.955,13.91
154.4,3.42,3.22,1.56,0.685,27.43
156.0,2.28,1.0,1.44,0.876,19.0
173.0,4.08,4.58,1.37,0.948,27.82
160.3,2.27,1.33,2.65,0.923,16.73
168.2,5.2,2.93,1.57,0.591,41.15
175.2,2.93,5.95,2.85,0.978,22.36
184.5,4.16,1.44,2.94,0.688,50.42
152.0,5.52,6.88,2.14,0.67,29.72
190.0,4.6,1.03,1.29,0.531,63.34
181.4,4.13,2.73,1.75,0.743,43.57
154.1,3.3,6.19,2.6,0.555,21.33
193.7,3.33,3.21,1.73,0.624,55.23
196.0,4.68,1.71,1.17,0.658,71.92
153.1,5.98,3.52,2.11,0.904,25.23
163.8,4.65,2.89,2.69,0.938,25.81
190.3,4.23,6.9,2.59,0.651,46.46
187.4,4.92,3.19,1.35,0.929,54.36
159.2,3.86,6.52,2.35,0.929,11.97
160.5,2.24,7.24,1.44,0.882,11.89
168.5,4.25,4.04,1.44,0.573,39.71
174.2,5.83,7.37,2.75,0.845,30.54
180.9,2.7,3.64,1.5,0.973,31.82
168.4,4.76,7.75,1.53,0.841,22.18
173.1,2.8,1.63,1.0,0.666,40.52
187.4,4.14,5.81,2.74,0.75,43.7
151.8,2.39,4.46,2.59,0.823,11.15
162.6,3.8,3.71,2.25,0.755,24.3
185.7,5.02,5.43,2.5,0.56,54.94
194.8,3.39,5.93,1.3,0.656,54.59
175.6,4.66,1.03,1.92,0.901,35.53
176.6,5.18,2.17,1.7,0.931,38.36
155.4,5.71,5.99,1.19,0.569,31.67
172.4,2.94,5.66,1.97,0.976,24.13
176.6,3.6,7.76,2.84,0.664,27.5
162.1,2.61,6.33,1.08,0.831,19.57
163.5,5.97,7.66,1.58,0.876,27.51
168.9,5.71,5.92,1.42,0.906,28.15
151.0,4.16,3.09,1.48,0.973,19.79
166.1,5.37,1.74,2.82,0.656,40.2
160.6,4.08,6.47,1.94,0.929,16.55
166.4,4.49,5.51,1.93,0.566,37.5
156.0,2.36,1.34,2.52,0.853,20.17
194.5,5.02,3.52,1.31,0.871,63.67
179.7,2.51,7.7,1.97,0.839,22.84
184.0,5.3,4.5,1.86,0.626,49.46
189.5,5.13,4.03,2.19,0.937,47.48
174.9,4.83,4.2,3.0,0.584,40.82
154.3,2.14,2.46,2.54,0.527,25.76
176.9,3.21,3.58,1.8,0.859,23.95
179.3,3.05,3.59,2.66,0.738,33.5
187.3,3.44,1.37,1.34,0.925,45.33
171.6,2.35,6.37,1.06,0.692,24.55
156.4,5.75,3.92,1.41,0.584,41.47
164.2,4.22,6.76,1.68,0.918,21.11
168.2,3.22,6.95,2.02,0.774,25.05
182.3,3.59,2.48,2.23,0.595,45.24
178.5,3.79,5.6,2.82,0.86,31.9
167.8,4.4,4.31,2.02,0.756,35.12
199.3,4.06,7.16,2.0,0.802,62.77
180.3,5.68,2.51,1.1,0.73,48.66
161.9,3.99,5.74,1.07,0.914,20.15
155.1,5.97,5.25,2.1,0.915,23.49
157.6,5.41,3.07,1.88,0.855,30.04
162.3,2.83,1.96,2.68,0.553,30.72
158.0,5.72,5.56,1.32,0.919,23.32
159.3,2.47,6.17,1.05,0.836,15.87
164.3,5.27,3.21,1.9,0.849,24.76
158.7,3.52,5.51,1.47,0.681,28.49
194.8,5.51,3.77,1.1,0.94,60.35
154.0,5.47,5.99,2.45,0.863,22.16
176.2,5.22,2.39,1.22,0.556,50.04
170.5,5.16,7.23,2.22,0.704,35.59
199.1,3.22,3.01,1.56,0.943,48.58
155.6,2.32,3.57,1.35,0.524,26.46
169.9,3.61,1.41,1.76,0.981,25.96
198.5,2.69,1.78,2.6,0.84,54.37
193.3,4.78,4.61,1.78,0.816,61.98
190.9,3.38,2.87,2.5,0.635,50.16
162.9,5.9,6.85,1.25,0.624,38.15
158.5,4.56,1.1,2.55,0.971,24.26
183.4,5.29,3.65,1.47,0.649,57.31
196.5,2.53,3.36,2.35,0.888,46.76
177.8,5.45,1.14,2.13,0.697,46.61
178.6,5.69,1.87,2.86,0.57,54.86
164.0,3.95,3.9,1.77,0.505,36.17
188.5,4.43,4.45,1.13,0.772,47.05
159.4,5.06,3.83,1.04,0.988,23.19
166.2,2.7,4.72,2.65,0.685,23.27
171.3,4.01,5.17,2.05,0.679,34.43
175.4,3.59,1.07,2.55,0.672,36.12
162.1,2.59,4.25,1.47,0.76,12.36
155.7,3.47,7.74,1.69,0.72,19.85
180.5,2.27,4.63,1.06,0.94,23.94
164.4,2.1,5.74,2.92,0.753,8.54
179.1,2.54,3.18,2.34,0.754,23.36
157.7,5.85,6.42,2.87,0.569,34.1
174.1,4.2,6.41,1.53,0.991,25.41
176.6,5.86,4.65,2.22,0.625,45.71
152.6,3.73,7.83,2.36,0.537,26.62
166.8,3.25,1.88,1.64,0.832,28.86
156.7,4.02,1.12,2.7,0.798,30.16
153.2,3.76,6.39,2.89,0.708,14.05
199.5,2.42,6.65,2.77,0.711,52.38
166.1,4.56,1.84,2.48,0.893,23.28
190.5,2.86,2.86,1.55,0.598,52.68
162.7,4.48,1.12,1.56,0.91,28.04
184.1,4.6,3.05,2.93,0.824,44.95
188.0,2.61,6.41,1.02,0.709,42.05
179.8,2.25,4.63,2.43,0.729,31.53
173.6,5.12,3.44,2.41,0.628,43.7
170.6,3.84,3.6,2.25,0.876,32.98
167.4,2.23,1.01,2.98,0.756,22.24
196.5,5.98,3.1,1.62,0.66,71.91
191.5,2.23,5.53,1.68,0.798,42.34
198.3,4.78,7.82,1.16,0.998,53.55
156.2,5.93,6.93,1.89,0.718,33.22
186.5,2.96,1.17,1.52,0.96,39.63
196.9,2.57,7.29,1.69,0.673,50.45
159.1,2.49,6.48,2.67,0.527,19.0
153.3,3.21,6.46,2.87,0.602,21.44
187.1,2.4,4.21,1.37,0.709,41.6
178.7,4.77,3.79,1.75,0.61,44.51
192.1,2.25,3.12,2.86,0.5,56.86
157.0,4.04,1.46,1.12,0.958,21.52
189.8,5.99,2.6,1.18,0.922,58.92
160.1,5.26,2.73,1.33,0.871,32.2
158.2,4.46,4.39,2.19,0.584,25.57
158.2,3.23,6.23,1.3,0.56,27.33
190.7,4.5,4.32,2.94,0.534,54.68
183.3,4.11,1.4,1.89,0.862,46.15
176.2,3.7,7.7,2.0,0.964,19.54
167.9,2.52,7.6,1.49,0.715,22.31
193.9,5.55,6.5,1.94,0.56,69.29
169.6,3.8,7.94,2.32,0.756,25.47
190.8,2.78,4.81,2.5,0.674,46.71
172.0,3.47,7.74,2.51,0.687,24.32
168.8,3.66,1.53,2.16,0.811,27.98
173.1,5.31,3.56,2.81,0.859,38.34
165.1,4.93,2.58,2.63,0.555,35.64
187.4,5.08,2.37,2.51,0.518,57.38
175.1,2.04,1.99,1.11,0.997,25.7
161.6,3.66,5.36,1.01,0.616,26.74
195.0,3.93,6.47,1.42,0.527,59.22
169.2,2.08,5.05,2.33,0.595,19.94
177.2,3.04,2.03,1.82,0.519,40.86
195.3,5.04,6.68,1.8,0.696,61.47
181.2,2.55,5.45,2.77,0.901,25.98
155.8,4.14,3.72,2.79,0.671,28.26
197.0,2.86,5.72,2.82,0.722,53.2
181.4,2.05,2.82,1.63,0.838,31.11
166.7,2.96,3.42,2.38,0.754,23.37
157.0,5.9,7.42,1.54,0.931,24.17
189.7,5.21,3.03,1.38,0.933,57.39
181.0,5.84,4.29,1.37,0.505,57.36
176.7,3.95,7.23,1.68,0.889,26.31
194.7,2.44,5.95,1.86,0.73,44.98
189.4,4.19,1.44,2.66,0.994,41.31
157.6,3.82,2.03,1.24,0.742,30.76
165.6,5.38,1.05,2.47,0.993,31.05
162.4,2.39,5.42,2.06,0.877,15.51
187.2,3.95,4.13,1.58,0.624,51.25
151.7,2.6,1.94,1.99,0.769,24.66
178.5,3.3,7.71,1.6,0.996,21.37
188.1,4.95,4.71,2.19,0.929,48.85
193.8,3.9,2.69,1.87,0.549,63.81
167.1,3.5,4.5,1.33,0.853,22.71
191.1,3.58,5.76,1.23,0.673,53.73
155.5,3.84,1.53,2.09,0.503,35.26
192.3,5.14,2.92,2.8,0.702,61.52
156.4,5.57,6.65,1.69,0.617,31.53
169.9,5.82,4.22,2.47,0.909,31.88
189.9,5.15,4.83,2.32,0.669,63.71
157.5,3.26,4.03,2.86,0.914,18.02
161.5,4.75,1.31,2.64,0.5,40.83
186.1,3.75,2.16,2.13,0.654,50.24
186.0,3.02,4.12,2.31,0.621,47.14
182.1,5.36,2.46,2.8,0.617,53.22
184.7,2.15,1.35,1.8,0.534,46.53
177.1,5.61,6.91,1.65,0.594,43.97
162.6,3.85,7.87,1.02,0.778,21.6
167.3,4.55,6.55,2.65,0.646,19.49
159.1,4.64,6.98,2.6,0.709,23.64
195.4,5.58,2.69,1.21,0.688,70.44
179.2,4.55,7.72,2.15,0.938,34.17
170.0,4.46,2.38,1.93,0.953,29.06
173.1,2.27,7.66,1.24,0.746,18.62
197.4,4.07,7.96,2.96,0.665,56.17
157.7,2.6,5.98,1.43,0.553,20.38
179.3,4.95,7.87,1.13,0.977,33.94
175.3,4.05,4.99,2.19,0.53,40.52
180.6,4.72,2.82,2.48,0.649,49.36
150.9,2.17,4.06,1.06,0.649,19.27
193.6,2.34,5.15,2.32,0.66,48.13
196.6,4.87,1.51,2.06,0.582,68.89
178.3,2.29,5.36,1.21,0.892,27.68
184.8,2.29,7.87,1.35,0.561,39.77
196.1,2.05,2.33,2.14,0.817,51.5
185.4,5.83,6.55,1.59,0.562,56.48
157.6,4.95,7.36,2.88,0.535,28.97
178.8,3.41,7.61,2.64,0.955,27.24
180.3,3.19,7.72,2.97,0.595,31.85
171.2,3.4,4.65,1.52,0.911,24.77
186.8,5.1,7.84,2.94,0.772,40.12
196.7,4.65,6.3,1.86,0.539,64.43
196.3,2.74,2.13,1.7,0.978,50.51
172.5,2.7,4.34,1.1,0.623,35.72
155.7,2.39,6.03,1.11,0.93,10.93
199.2,4.64,2.73,2.38,0.584,72.78
191.9,5.06,5.48,1.92,0.927,50.1
156.2,3.06,5.67,1.45,0.507,25.16
196.0,2.08,2.14,2.23,0.756,52.84
193.5,2.33,4.96,1.51,0.885,38.91
175.9,5.87,6.4,2.16,0.967,37.01
179.6,3.18,4.49,1.72,0.955,26.87
170.0,5.08,1.08,2.65,0.91,35.07
152.7,4.5,1.06,2.64,0.944,18.33
166.8,3.53,3.5,1.95,0.6,33.92
190.1,2.82,7.48,1.7,0.642,46.43
150.2,2.49,2.6,1.73,0.644,24.54
166.7,4.46,5.44,2.61,0.689,25.69
169.9,5.1,2.55,1.66,0.697,40.49
176.9,4.58,3.25,1.42,0.772,36.96
196.0,4.12,6.94,1.17,0.58,62.18
167.3,2.17,6.1,1.93,0.846,18.6
167.3,5.87,1.67,1.96,0.584,47.53
186.9,5.19,4.0,2.68,0.655,53.58
172.6,3.17,1.2,1.44,0.752,31.36
161.2,5.92,4.37,1.76,0.898,31.09
172.6,4.41,5.64,2.62,0.87,26.88
157.0,4.33,1.83,2.65,0.823,17.99
158.8,4.99,3.02,1.77,0.578,38.32
174.9,5.25,3.78,1.92,0.774,39.58
170.9,4.63,7.44,1.61,0.544,39.83
195.7,2.51,7.95,2.87,0.689,42.44
168.1,3.35,1.31,1.24,0.707,24.16
179.0,5.71,6.33,2.87,0.52,48.06
181.6,2.9,3.6,2.37,0.637,39.7
150.7,3.49,3.75,2.06,0.978,9.62
183.2,3.73,6.28,1.07,0.977,30.58
158.9,3.76,7.43,1.95,0.676,29.67
198.1,4.45,7.66,1.82,0.522,65.97
157.4,5.77,5.04,1.32,0.59,38.66
170.7,2.96,3.5,2.31,0.696,26.3
154.3,2.49,6.51,2.94,0.974,0.0
199.8,2.79,2.76,2.12,0.571,65.75
175.1,5.55,4.95,2.43,0.882,34.15
179.8,4.58,3.51,1.14,0.554,49.03
153.4,3.14,5.6,1.84,0.991,10.85
187.5,5.26,2.68,1.23,0.691,59.88
160.5,5.45,2.34,2.23,0.888,28.53
194.9,5.39,7.43,2.88,0.671,55.95
160.3,5.68,1.71,2.32,0.814,34.13
159.5,3.01,4.54,1.15,0.596,21.31
151.8,5.02,2.55,1.71,0.573,29.19
173.6,3.84,1.27,2.1,0.969,31.91
178.2,5.37,1.25,1.81,0.959,43.15
153.3,4.91,2.23,2.67,0.944,21.93
188.8,5.11,7.07,2.63,0.813,42.41
172.7,4.62,2.98,2.22,0.904,29.42
176.2,2.71,7.65,1.75,0.535,30.93
172.0,4.18,5.07,1.51,0.667,30.24
170.0,5.94,4.06,1.21,0.657,41.35
178.0,5.75,5.06,1.71,0.818,44.06
157.8,2.17,4.62,1.83,0.678,23.35
159.1,2.66,6.31,2.35,0.574,19.49
193.1,2.53,2.98,2.32,0.798,49.46
197.3,4.9,3.47,1.14,0.907,58.29
168.7,5.27,7.26,1.79,0.691,34.7
163.5,2.85,7.63,1.36,0.566,21.65
182.2,4.02,7.25,1.31,0.598,44.07
170.4,5.36,3.94,2.65,0.619,38.37
151.3,4.93,6.46,1.08,0.65,32.56
157.8,4.17,4.33,1.84,0.821,20.41
185.8,4.36,4.48,1.34,0.8,48.53
182.9,4.03,2.43,2.76,0.848,38.94
151.4,3.19,5.14,2.11,0.681,19.92
161.1,4.26,2.3,1.46,0.912,25.14
161.6,4.76,3.32,2.0,0.602,31.84
183.6,5.49,6.99,2.46,0.735,44.81
151.0,4.55,2.45,2.92,0.9,20.56
155.2,5.04,1.5,1.44,0.59,38.45
190.0,2.64,1.48,2.77,0.555,52.12
158.9,3.85,7.59,2.87,0.942,13.67
182.6,2.04,4.55,2.83,0.671,35.19
161.9,2.99,3.87,2.27,0.842,15.58
155.0,4.91,6.68,2.26,0.513,32.62
162.2,5.97,6.85,1.81,0.845,24.16
186.1,2.4,3.33,2.5,0.658,42.65
192.8,3.61,5.86,2.06,0.528,58.46
191.5,5.2,6.4,2.35,0.805,46.91
169.9,2.82,5.58,1.86,0.62,27.75
183.4,4.22,2.06,2.46,0.693,45.65
160.2,4.93,7.13,2.65,0.54,27.06
164.7,4.46,4.77,1.29,0.574,39.3
194.8,2.75,2.98,2.67,0.649,52.38
150.7,3.42,3.98,2.08,0.545,24.64
154.3,5.14,1.26,2.69,0.955,24.35
160.4,4.22,1.9,1.86,0.503,39.15
151.3,2.02,6.36,1.76,0.742,12.87
159.1,5.04,1.0,2.83,0.562,40.5
179.2,2.14,3.92,1.5,0.654,35.79
171.1,4.98,4.66,2.69,0.963,19.99
194.6,2.81,1.38,1.97,0.581,58.84
190.9,5.83,7.81,2.03,0.983,46.54
167.1,3.47,2.58,1.62,0.603,35.37
163.0,3.31,3.13,2.15,0.871,13.11
169.0,2.6,3.13,1.65,0.773,33.06
179.5,3.22,2.61,1.08,0.942,35.25
163.4,5.51,1.01,1.54,0.777,37.96
181.2,5.99,6.11,1.01,0.767,51.84
170.5,3.47,7.77,2.96,0.598,32.52
177.6,3.79,2.57,2.93,0.583,43.2
171.8,4.89,5.64,1.79,0.958,30.51
164.7,5.54,6.19,2.46,0.664,32.48
197.4,4.37,6.94,1.69,0.686,61.47
188.2,3.57,3.96,2.34,0.88,40.28
157.0,3.65,3.12,2.61,0.669,22.65
193.4,4.78,3.28,2.89,0.976,49.3
174.4,2.01,5.99,1.8,0.869,15.31
194.7,4.48,6.72,2.57,0.799,52.8
190.0,3.42,2.27,1.53,0.94,40.93
171.3,5.18,3.6,2.98,0.525,42.0
151.1,2.37,7.31,1.05,0.629,18.31
163.4,4.35,6.65,2.21,0.733,24.88
177.1,3.92,7.89,2.32,0.613,32.13
181.7,4.57,6.28,2.38,0.872,44.81
162.9,2.26,3.75,1.24,0.96,19.48
157.0,4.32,5.13,2.88,0.712,19.19
191.7,4.25,5.63,1.36,0.671,56.7
199.2,4.24,1.55,2.25,0.981,59.79
176.3,4.41,4.81,1.45,0.722,35.42
158.6,4.71,5.97,1.61,0.745,21.92
163.6,5.22,2.17,2.09,0.676,37.75
150.9,3.08,6.46,1.83,0.955,8.51
195.7,5.3,5.09,1.32,0.784,67.32
155.9,3.99,7.67,1.34,0.881,19.49
178.8,2.31,1.3,1.84,0.906,34.1
163.7,2.23,2.86,2.51,0.671,19.84
177.7,3.34,5.21,2.8,0.717,32.64
182.6,5.14,3.08,1.17,0.924,47.09
191.5,4.83,6.0,1.79,0.682,55.11
160.3,5.15,6.31,1.2,0.897,22.03
150.5,4.07,1.72,1.03,0.97,27.4
156.8,3.76,4.6,2.32,0.812,20.54
195.0,2.59,4.56,2.2,0.871,47.96
193.7,3.31,3.58,1.33,0.903,47.85
179.9,3.74,7.53,1.47,0.923,25.25
180.0,2.35,6.79,1.05,0.698,29.99
183.3,2.88,5.88,2.67,0.526,39.45
158.8,4.39,6.0,2.95,0.701,19.49
195.7,4.94,4.23,1.27,0.837,62.41
170.9,5.99,7.45,1.46,0.725,31.89
169.2,5.73,5.86,2.74,0.874,25.77
175.9,4.57,6.1,2.85,0.678,36.81
152.3,3.68,7.03,1.84,0.817,18.08
158.3,4.54,2.92,1.1,0.593,34.21
186.9,5.14,6.65,1.08,0.875,43.91
154.1,2.47,2.37,2.15,0.773,16.01
180.2,3.64,3.42,1.79,0.602,42.34
162.3,5.36,3.35,1.06,0.646,40.09
169.5,3.54,7.85,2.17,0.874,21.42
164.4,4.29,7.0,1.02,0.741,25.39
167.8,4.35,5.91,2.57,0.608,27.27
186.0,2.74,6.09,1.61,0.984,31.6
164.9,3.45,4.93,1.08,0.858,20.48
178.3,3.34,7.63,2.18,0.979,20.47
173.8,2.1,4.47,1.8,0.714,30.14
183.2,2.1,3.66,2.95,0.738,34.74
196.8,5.33,2.14,2.09,0.949,64.13
186.6,3.09,6.5,1.55,0.763,35.63
160.7,4.07,6.14,2.42,0.854,19.31
151.6,3.19,3.69,1.54,0.626,28.77
163.1,5.76,1.18,2.81,0.723,35.49
179.8,3.04,6.87,1.75,0.562,40.76
152.6,3.72,1.08,2.1,0.603,34.59
174.8,5.49,5.93,1.1,0.5,52.8
179.8,5.37,7.79,1.85,0.52,47.88
166.7,2.74,4.06,2.66,0.989,16.14
188.5,5.21,2.64,2.61,0.621,63.13
155.3,3.83,5.93,1.45,0.832,20.79
153.8,3.93,6.72,1.45,0.92,14.26
186.4,2.53,4.83,2.63,0.775,34.54
174.8,2.32,7.77,2.86,0.577,25.33
184.4,4.91,1.36,1.19,0.864,46.59
171.7,3.99,4.53,1.9,0.8,29.36
162.3,3.75,6.03,1.67,0.866,22.97
191.0,4.92,7.04,2.74,0.885,39.67
190.0,5.06,2.25,1.17,0.988,57.87
184.7,2.64,6.6,1.42,0.787,37.95
163.6,4.44,4.87,2.5,0.671,27.15
179.5,2.54,3.78,1.1,0.824,34.05
168.0,5.01,1.92,1.99,0.534,43.04
154.6,4.63,7.06,1.88,0.949,19.86
195.9,5.83,2.1,1.67,0.56,80.31
156.8,2.28,3.17,1.79,0.664,17.64
197.5,2.23,3.03,2.06,0.908,51.22
172.3,3.13,7.1,1.32,0.799,23.72
